Transaction_Amount,Transaction_Type,Time_Since_Last,Account_Age,Transactions_Last_24h,Is_Fraud
463.41,0,2370.1935,19,6,0
5665.9,1,1736.3277,27,8,0
536.14,1,1149.6894,72,8,0
2487.09,1,1108.9987,111,9,0
424.45,2,372.9358,62,5,0
1615.23,2,3970.3472,11,10,0
2251.97,0,1174.9513,33,14,0
1464.91,1,1543.3955,37,10,0
918.58,2,1117.6025,52,9,0
583.64,2,1554.5701,96,8,0
1069.1,0,558.8547,51,6,0
532.33,1,1762.1951,82,11,0
3689.51,1,1289.9955,92,9,0
3402.46,1,1221.116,18,4,1
1966.95,1,335.9883,77,9,1
1082.86,3,813.3667,19,12,0
566.06,0,1613.5222,66,8,0
3238.26,0,590.5592,110,8,0
2135.4,2,1148.1496,2,12,0
1186.91,2,1279.9723,3,7,0
1553.59,1,1407.3726,81,12,0
1469.09,3,2203.3119,95,10,0
1847.53,1,1002.8116,93,10,0
1177.97,3,826.4128,108,5,0
618.97,1,818.4984,109,11,0
855.46,2,1818.8335,36,7,0
180.85,1,224.4318,56,9,0
640.01,3,561.4412,66,12,1
1153.98,3,72.7509,39,10,0
2171.63,2,451.0646,33,14,1
624.74,1,650.4558,107,19,0
775.3,0,1249.119,34,8,0
465.2,3,619.4795,26,10,0
844.0,0,539.3296,96,11,0
1612.13,0,745.6456,57,8,0
2001.23,2,786.662,1,7,0
385.18,1,707.4633,4,2,0
2644.44,3,1075.4441,5,10,0
1077.37,0,283.2167,75,6,0
763.41,0,454.5784,29,11,0
688.55,2,1100.6574,114,4,0
414.85,0,947.5621,31,9,0
645.48,3,667.8568,3,18,0
4363.77,1,241.7593,60,13,1
492.46,1,917.4111,77,5,0
998.62,0,1420.6804,71,12,0
593.26,1,268.712,58,10,1
724.42,1,1709.9335,104,8,0
1811.86,1,383.9422,93,3,0
630.43,0,998.0193,55,4,0
1360.98,2,299.3181,20,10,0
1954.79,3,665.5165,78,9,0
2024.88,3,668.2512,28,14,0
1050.85,3,3643.0239,108,20,0
1929.28,2,1267.3785,73,6,0
1225.73,1,679.6397,14,11,0
1509.08,1,1273.0742,119,7,0
2467.13,2,1770.0321,13,9,0
332.75,3,706.4333,24,20,0
614.75,1,536.0752,60,11,0
2068.89,2,6129.0551,110,8,0
1490.3,3,458.1031,54,4,0
1469.32,0,1854.447,78,11,0
2623.03,0,246.9919,108,13,0
596.37,1,1569.6382,29,13,0
1943.84,3,1407.6087,37,9,0
229.89,1,1412.9541,105,7,0
2173.82,0,2012.2282,39,8,0
130.6,0,2170.4688,81,7,0
591.07,1,582.969,5,7,0
590.26,1,1182.6532,67,12,0
703.73,1,2994.7814,17,8,0
2527.13,0,289.8805,64,7,0
265.02,1,717.3357,28,14,0
1262.29,1,3868.9024,89,6,0
1318.43,1,2317.1555,39,7,0
1847.05,0,907.8444,23,11,0
2351.04,1,1088.127,9,6,0
968.83,3,692.9205,62,11,0
283.47,0,1298.2467,81,11,0
711.08,0,809.1874,65,17,0
400.78,0,1528.6441,68,5,0
950.3,0,1114.8157,90,4,0
782.97,0,128.0632,11,20,0
3075.38,0,1161.4388,16,5,0
893.99,3,951.45,40,9,0
869.06,2,319.671,74,5,1
2525.25,2,841.8215,17,9,0
1611.46,1,2380.4051,48,8,0
382.96,1,1546.8564,41,8,0
498.03,3,879.5969,61,8,0
951.98,1,405.682,57,7,0
2742.1,1,311.9922,105,9,0
977.01,0,67.141,11,9,0
213.0,0,1606.3602,101,11,0
369.03,1,1162.7179,93,9,0
2560.86,0,401.1003,97,10,0
882.13,2,584.9842,104,5,0
630.28,0,1152.1882,32,6,0
999.45,2,2009.1938,26,4,0
208.89,2,338.2625,44,6,0
442.35,0,1526.9138,62,9,0
1845.34,3,1353.0499,22,14,1
872.23,0,2695.1461,75,9,0
2225.99,2,1038.2266,11,13,0
902.3,1,1306.4837,55,10,0
563.55,3,1040.7955,6,7,0
4243.28,3,1073.0973,110,9,1
3036.03,0,825.4696,61,13,0
1879.31,1,751.9844,28,19,1
289.86,0,1423.34,55,8,0
1443.11,0,704.1555,5,14,0
1685.13,1,454.8596,108,10,1
551.83,0,3145.9228,106,5,0
231.97,1,1228.1804,26,4,0
1391.03,2,1684.5271,91,4,0
1549.29,2,637.2315,103,12,0
2133.4,0,341.8203,101,5,1
363.78,0,1441.7209,67,9,0
1800.19,1,313.343,100,6,0
987.0,1,937.3049,40,7,0
2324.41,2,1460.3282,111,12,0
1216.76,2,544.2684,84,11,0
1746.5,1,1206.1087,95,7,0
1402.09,3,2917.21,98,6,0
750.27,0,488.2318,17,8,0
389.39,1,533.1145,10,9,0
400.5,2,1375.9205,93,13,0
530.83,1,763.11,66,6,0
1303.01,2,943.3924,95,5,0
